24/02/2018 01:35:23 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID file :zuquu3u2ge5cicag1lrvsy25 | FirstName : jay
24/02/2018 03:00:23 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :wtnjjynweezgdzvabjn1fe3g | FirstName : jaikishan
24/02/2018 03:00:30 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : ognjte4opkh33abovawgxhx4 | FirstName : jay
24/02/2018 03:03:07 PM SIDDHESH-PC COMFLEX\1150 iisexpress 5   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : m0zuewydduhj00bzqsazhbkm | FirstName : siddhesh
24/02/2018 03:03:14 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :gvxyqgyrfc1g2ca0qjkjhzew | FirstName : atul
24/02/2018 03:11:48 PM SIDDHESH-PC COMFLEX\1150 iisexpress 22  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :3ho3tyc3wdni00sc1v5trufe | FirstName : hasti
24/02/2018 03:11:55 PM SIDDHESH-PC COMFLEX\1150 iisexpress 23  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : 3gudrew2bvkhb2goa3hopwhj | FirstName : jay
24/02/2018 03:12:43 PM SIDDHESH-PC COMFLEX\1150 iisexpress 25  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :a5ngsg5b3fgcztesyumqiubv | FirstName : ashwini
24/02/2018 03:17:58 PM SIDDHESH-PC COMFLEX\1150 iisexpress 24  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :2z5x23plep0rnk3j1ewkyy1t | FirstName : hasti
24/02/2018 03:19:17 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :waxc2yhhqzets2io423t2zwu | FirstName : hasti
24/02/2018 03:19:39 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :irttf5qnzg3bxnmtfrgq2x13 | FirstName : kitty
24/02/2018 03:20:22 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ylfhfvbl0lzkr03xzjmsnq2e | FirstName : badsf
24/02/2018 03:41:13 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :1qh5knm5cxog5odio3qlmjcx | FirstName : hasti
24/02/2018 03:43:22 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :cuiy2h1hnsoylhqszqac4t3e | FirstName : ashwini
24/02/2018 03:45:17 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :odvkhy1rfgsvda2j2mhidgmu | FirstName : hasti
24/02/2018 03:47:40 PM SIDDHESH-PC COMFLEX\1150 iisexpress 12  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :punjoyb4m54da15ekhcqifqj | FirstName : abcd
24/02/2018 03:51:40 PM SIDDHESH-PC COMFLEX\1150 iisexpress 12  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :5kaghbf2w2en23clfs53om0f | FirstName : hasti
24/02/2018 04:01:03 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :mxk432guwzcdxymvsymovphd | FirstName : hasti
24/02/2018 04:01:47 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ziwn0jl2via1g14n21k5xjx4 | FirstName : anuja
24/02/2018 04:02:14 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :z3ziv52vpynkl03tsftvdpd2 | FirstName : anuja
24/02/2018 04:04:41 PM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :odhk4xtoqbhdotd1rftgxf52 | FirstName : anuuja
24/02/2018 04:06:44 PM SIDDHESH-PC COMFLEX\1150 iisexpress 6   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :cfo3quiwmexdxht300nalbke | FirstName : megha
24/02/2018 04:22:27 PM SIDDHESH-PC COMFLEX\1150 iisexpress 22  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ftj1demwspnb0bg4fmiochxc | FirstName : hasti
24/02/2018 04:23:43 PM SIDDHESH-PC COMFLEX\1150 iisexpress 24  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :nh4z3ao3lv4r3c05smallvoc | FirstName : hasti
24/02/2018 04:25:11 PM SIDDHESH-PC COMFLEX\1150 iisexpress 22  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : jg5zbxfavl4eblins3riaxao | FirstName : jay
24/02/2018 04:41:22 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :a3qorq12ssajxsyt5kcqhwyk | FirstName : ghg
24/02/2018 04:41:30 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :vclwlxboa4vty2znvdqhkmua | FirstName : ghghasad
24/02/2018 04:43:06 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :eplgomo4ib1srwochwt3wysw | FirstName : hasti
24/02/2018 04:46:44 PM SIDDHESH-PC COMFLEX\1150 iisexpress 17  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :kcuruxya1igktkq4wh1gthwx | FirstName : hasti
24/02/2018 04:47:57 PM SIDDHESH-PC COMFLEX\1150 iisexpress 16  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :jcxwulhlnlqrxomw1xrnggpu | FirstName : hasti
24/02/2018 04:48:01 PM SIDDHESH-PC COMFLEX\1150 iisexpress 15  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :bf5unpnff5lf2hhmswappl4d | FirstName : hasti
